video_name,link,thumbnail_link,duration,views,upload_date,likes,comments
"Aman Pradipkumar Patel, GATE, Rank - 105 | ISRO MOCK Interview | GeeksforGeeks",https://www.youtube.com/watch?v=Ok-hBZ5zoNI,https://i.ytimg.com/vi/Ok-hBZ5zoNI/hqdefault.jpg,495.0,4873,N/A,N/A,N/A
You’re Not Bad at Coding — You’re Doing It Wrong,https://www.youtube.com/watch?v=dx_-NK3MBN0,https://i.ytimg.com/vi/dx_-NK3MBN0/hqdefault.jpg,263.0,2207,N/A,N/A,N/A
Are You Making These Mistakes In Your Tech Interview? 5 Common Mistakes You Can Avoid!,https://www.youtube.com/watch?v=VpP_YgR8Fzc,https://i.ytimg.com/vi/VpP_YgR8Fzc/hqdefault.jpg,142.0,1823,N/A,N/A,N/A
Industry Layoffs Are Back 😨 | What It Means for You,https://www.youtube.com/watch?v=sBS-TKHYbSE,https://i.ytimg.com/vi/sBS-TKHYbSE/hqdefault.jpg,320.0,5382,N/A,N/A,N/A
Hard Truth of FDE | Reality of Software Development Career,https://www.youtube.com/watch?v=gi2msRZqbwQ,https://i.ytimg.com/vi/gi2msRZqbwQ/hqdefault.jpg,458.0,1455,N/A,N/A,N/A
What is Vibe Coding? | Vibe Coding Explained | How to Enter the Coding Flow State,https://www.youtube.com/watch?v=Z3sYuajeIDw,https://i.ytimg.com/vi/Z3sYuajeIDw/hqdefault.jpg,1545.0,1045,N/A,N/A,N/A
Tech Mock Interview on GeeksforGeeks Connect | Practice for Coding Interview Rounds,https://www.youtube.com/watch?v=8DUOeuSVh8U,https://i.ytimg.com/vi/8DUOeuSVh8U/hqdefault.jpg,690.0,1232,N/A,N/A,N/A
How To Make Viral AI Videos 100% Free? | Free AI Video,https://www.youtube.com/watch?v=mul_9NqWWyY,https://i.ytimg.com/vi/mul_9NqWWyY/hqdefault.jpg,535.0,4945,N/A,N/A,N/A
"GfG Classroom Program Success Stories | Coding Classes in Noida, Bengaluru, Hyderabad, Kolkata, Pune",https://www.youtube.com/watch?v=8cY8MeQpw14,https://i.ytimg.com/vi/8cY8MeQpw14/hqdefault.jpg,303.0,6625,N/A,N/A,N/A
Are LLMs the Solution to Every Problem? | AI Explained,https://www.youtube.com/watch?v=CyPe9Vf3FwY,https://i.ytimg.com/vi/CyPe9Vf3FwY/hqdefault.jpg,300.0,442,N/A,N/A,N/A
ChatGPT vs Claude vs Gemini | The Ultimate AI Showdown,https://www.youtube.com/watch?v=fKI3wMic-Po,https://i.ytimg.com/vi/fKI3wMic-Po/hqdefault.jpg,581.0,1112,N/A,N/A,N/A
NIMCET 2026 Notification Released | Exam Date | Syllabus | Online Form Details,https://www.youtube.com/watch?v=7zGgXtWcySQ,https://i.ytimg.com/vi/7zGgXtWcySQ/hqdefault.jpg,395.0,2843,N/A,N/A,N/A
TCS NQT 2026 | How To register? | How To Apply? | FAQ's | Complete Information,https://www.youtube.com/watch?v=DqKr02yt_MI,https://i.ytimg.com/vi/DqKr02yt_MI/hqdefault.jpg,432.0,3047,N/A,N/A,N/A
All About TCS NQT 2026 | Syllabus | Cut Off | Eligibility | CTC - 12 To 15 Lakh,https://www.youtube.com/watch?v=2jKKz2CAlio,https://i.ytimg.com/vi/2jKKz2CAlio/hqdefault.jpg,605.0,19476,N/A,N/A,N/A
What is SQL? 🤔 Future Career Scope & Best Resources to Learn,https://www.youtube.com/watch?v=1k8dQnBZGIU,https://i.ytimg.com/vi/1k8dQnBZGIU/hqdefault.jpg,716.0,2951,N/A,N/A,N/A
DSA In Java | Graph 01 | Java in One Shot | Graph in Java,https://www.youtube.com/watch?v=cH3mvlMcCrU,https://i.ytimg.com/vi/cH3mvlMcCrU/hqdefault.jpg,18022.0,10873,N/A,N/A,N/A
250+ Refunds Claimed | GeeksforGeeks Three 90 Challenge!,https://www.youtube.com/watch?v=kEP5QMPKH_A,https://i.ytimg.com/vi/kEP5QMPKH_A/hqdefault.jpg,50.0,6757,N/A,N/A,N/A
Hack-4-Viksit Bharat Hackathon | Big Opportunity for Students | FoT DU x Google Cloud x SISL x GfG ,https://www.youtube.com/watch?v=wXv5GRM029U,https://i.ytimg.com/vi/wXv5GRM029U/hqdefault.jpg,2249.0,7355,N/A,N/A,N/A
DSA In Java | Backtracking | Java in One Shot | Backtracking in Java,https://www.youtube.com/watch?v=5iA-PZydN5k,https://i.ytimg.com/vi/5iA-PZydN5k/hqdefault.jpg,14685.0,7275,N/A,N/A,N/A
DSA In Java | Binary Search On Answer | Java in One Shot | Binary Search On Answer in Java,https://www.youtube.com/watch?v=B2UY-pXdE2E,https://i.ytimg.com/vi/B2UY-pXdE2E/hqdefault.jpg,7132.0,4986,N/A,N/A,N/A
How to Crack GATE Exam? | Topper’s Secret Strategy Revealed,https://www.youtube.com/watch?v=-d1zUwlx8HQ,https://i.ytimg.com/vi/-d1zUwlx8HQ/hqdefault.jpg,2020.0,958,N/A,N/A,N/A
DSA In Java | DP 03 | Java in One Shot | DP ( Dynamic Programming ) in Java,https://www.youtube.com/watch?v=ZLrE8tOGZrA,https://i.ytimg.com/vi/ZLrE8tOGZrA/hqdefault.jpg,17692.0,5058,N/A,N/A,N/A
Technical Scripter 2026 | How to Join & Win with GeeksforGeeks,https://www.youtube.com/watch?v=_3P-0yXBTao,https://i.ytimg.com/vi/_3P-0yXBTao/hqdefault.jpg,139.0,1440,N/A,N/A,N/A
Future After B.Tech CSE | Top Career Options for CS Students,https://www.youtube.com/watch?v=URepBV8jHjA,https://i.ytimg.com/vi/URepBV8jHjA/hqdefault.jpg,687.0,16008,N/A,N/A,N/A
Aggregate Functions in SQL for Beginners | Placement & Interviews,https://www.youtube.com/watch?v=Dr8x9rbUfUQ,https://i.ytimg.com/vi/Dr8x9rbUfUQ/hqdefault.jpg,300.0,1294,N/A,N/A,N/A
DSA In Java | DP 02 | Java in One Shot | DP ( Dynamic Programming ) in Java,https://www.youtube.com/watch?v=Qg5fj0ruhEI,https://i.ytimg.com/vi/Qg5fj0ruhEI/hqdefault.jpg,18462.0,6644,N/A,N/A,N/A
NIMCET 2026 Crash Course Batch LAUNCH! 🔥 Complete Course in 90 DAYS,https://www.youtube.com/watch?v=hLa7OQPNqBo,https://i.ytimg.com/vi/hLa7OQPNqBo/hqdefault.jpg,1244.0,1356,N/A,N/A,N/A
Strongest TEAM of CS & DA in INDIA 🔥| Unstoppable TEAM United | Abdul Bari JOINED the GfG Revolution,https://www.youtube.com/watch?v=_T0bdTsX0rg,https://i.ytimg.com/vi/_T0bdTsX0rg/hqdefault.jpg,597.0,3975,N/A,N/A,N/A
Complete Data Science Roadmap 2026 | How To Become a Data Scientist Step by Step,https://www.youtube.com/watch?v=Qd6uWWd2Yoo,https://i.ytimg.com/vi/Qd6uWWd2Yoo/hqdefault.jpg,654.0,2551,N/A,N/A,N/A
HOW TO CRACK NIMCET ? Complete Roadmap for Beginners in 2026,https://www.youtube.com/watch?v=Besi1rnkYvs,https://i.ytimg.com/vi/Besi1rnkYvs/hqdefault.jpg,222.0,10110,N/A,N/A,N/A
How Do I Win Three 90 Challenge? All Questions Answered | GeeksforGeeks,https://www.youtube.com/watch?v=AGGqRQLWsjA,https://i.ytimg.com/vi/AGGqRQLWsjA/hqdefault.jpg,116.0,496,N/A,N/A,N/A
